glyph_name,ps_name,USV,DesignerOrder,bcp47tags,Feat
fehThreedotsupbelow-ar.init,uni0761.init,,1046,,
fehAfrican-ar,uni08BB,08BB,1052,,
fehAfrican-ar.fina,uni08BB.fina,,1053,,
fehAfrican-ar.medi,uni08BB.medi,,1054,,
fehAfrican-ar.init,uni08BB.init,,1055,,
qafDotless-ar,uni066F,066F,1056,,
qafDotless-ar.fina,uni066F.fina,,1057,,
qafDotless-ar.medi,uni066F.medi,,1058,,
qafDotless-ar.init,uni066F.init,,1059,,
qaf-ar,uni0642,0642,1060,,
qaf-ar.fina,uni0642.fina,,1061,,
qaf-ar.medi,uni0642.medi,,1062,,
qaf-ar.init,uni0642.init,,1063,,
qafDotabove-ar,uni06A7,06A7,1064,,
qafDotabove-ar.fina,uni06A7.fina,,1065,,
qafDotabove-ar.medi,uni06A7.medi,,1066,,
qafDotabove-ar.init,uni06A7.init,,1067,,
qafThreedotsabove-ar,uni06A8,06A8,1070,,
qafThreedotsabove-ar.fina,uni06A8.fina,,1071,,
qafThreedotsabove-ar.medi,uni06A8.medi,,1072,,
qafThreedotsabove-ar.init,uni06A8.init,,1073,,
qafAfrican-ar,uni08BC,08BC,1082,,
qafAfrican-ar.fina,uni08BC.fina,,1083,,
qafAfrican-ar.medi,uni08BC.medi,,1084,,
qafAfrican-ar.init,uni08BC.init,,1085,,
qafThreedotsaboveAfrican-ar,uni08C4,08C4,1086,,
qafThreedotsaboveAfrican-ar.fina,uni08C4.fina,,1087,,
qafThreedotsaboveAfrican-ar.medi,uni08C4.medi,,1088,,
qafThreedotsaboveAfrican-ar.init,uni08C4.init,,1089,,
qafThreedotsaboveAfrican-ar.ss09,uni08C4.ss09,,1090,ha,ss09
qafThreedotsaboveAfrican-ar.fina.ss09,uni08C4.fina.ss09,,1091,ha,ss09
qafThreedotsaboveAfrican-ar.medi.ss09,uni08C4.medi.ss09,,1092,ha,ss09
qafThreedotsaboveAfrican-ar.init.ss09,uni08C4.init.ss09,,1093,ha,ss09
kaf-ar,uni0643,0643,1098,,
kaf-ar.fina,uni0643.fina,,1099,,
kaf-ar.medi,uni0643.medi,,1100,,
kaf-ar.init,uni0643.init,,1101,,
keheh-ar,uni06A9,06A9,1106,,
keheh-ar.fina,uni06A9.fina,,1107,,
keheh-ar.medi,uni06A9.medi,,1108,,
keheh-ar.init,uni06A9.init,,1109,,
kehehThreedotsabove-ar,uni0763,0763,1122,,
kehehThreedotsabove-ar.fina,uni0763.fina,,1123,,
kehehThreedotsabove-ar.medi,uni0763.medi,,1124,,
kehehThreedotsabove-ar.init,uni0763.init,,1125,,
kehehThreedotsabove-ar.ss09,uni0763.ss09,,1130,ha,ss09
kehehThreedotsabove-ar.fina.ss09,uni0763.fina.ss09,,1131,ha,ss09
kehehThreedotsabove-ar.medi.ss09,uni0763.medi.ss09,,1132,ha,ss09
kehehThreedotsabove-ar.init.ss09,uni0763.init.ss09,,1133,ha,ss09
gaf-ar,uni06AF,06AF,1154,,
gaf-ar.fina,uni06AF.fina,,1155,,
